,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,h/w
163,8290,0.001900691223206636,0.0003441654573414733,0.00013727828788615308,0.0,0.00017208272867073665,0.001718887811455186,0.0027262904837597017,0.02466278607664008,0.05193920713580422,0.07507847800257963,0.09322354852803766,0.0827500582402455,0.08097689881378736,0.0731430559692287,0.06496023098049813,0.08401428470213726,0.13843263952540136,0.10088810964259423,0.10843183922684552,0.08137407481808892,0.05970628842445084,0.03190149154292167,0.01807768355870078,0.005848053341025789,1
164,8297,0.0009332582440380676,0.0005565675916003505,0.00044077127811856806,0.0,0.00016288753201443185,0.0007205672091608063,0.0013910189293048372,0.010078542593432693,0.01859747295259492,0.02074178974114069,0.021884144052392935,0.019728640892258564,0.017880090758770385,0.01748341630073511,0.022379508659389112,0.01703115901786884,0.02083153737323417,0.029503795965139596,0.02437299154047526,0.020099782608267336,0.011390197002898799,0.0061371384442864396,0.0036732648335857554,0.0017739342497949916,1
165,8354,0.0014703153550053802,0.0013360158247719086,0.00031074137957216375,4.220743593127173e-05,5.180108273303568e-05,7.503894376964134e-05,0.002551742472708987,0.008882606567604196,0.020124702204030558,0.021809742207275946,0.023806499838862103,0.028411133257940334,0.0210347379531515,0.020688116538041867,0.024308912473389798,0.024577464378811743,0.021180081816687693,0.029883735293608608,0.021802356352062666,0.021307398239154014,0.01296224250657005,0.009021799777637578,0.007028745872867859,0.002462526793304712,1
166,8367,0.00041083897522867306,0.001232516925686019,0.0008372547836418439,0.0,0.00041083897522867306,0.0,0.00041083897522867306,0.007062097451036416,0.037349253179461486,0.046829752569863485,0.06733470635249642,0.05985193581793152,0.042721362817576755,0.028565866367814385,0.04406286828178074,0.047318327829694105,0.05068307167876652,0.04972110364210166,0.0382798703746633,0.02406226376725699,0.013318192372347012,0.009891239778083637,0.005814003692165901,0.0037442812766115504,0
167,8376,0.002770594924716365,0.0010422537875444862,8.215035813861625e-07,0.0,0.00045564172686251236,8.215035813861625e-07,0.004810564990634687,0.023259093224259626,0.06104017437178258,0.10651885591981372,0.09700201050566111,0.11995708844359816,0.1119882030057616,0.09469926066293417,0.09516256821125091,0.10643357134648977,0.12369477667192774,0.13749649519465462,0.13501619734030557,0.08982400766371383,0.07137714982328341,0.05481645912732756,0.023234187817782626,0.014185098327954717,1
168,8383,0.0004343371983024588,0.0006248176081599679,0.0,0.0,0.0004165450721066453,0.0006893109572310188,0.003408498485464546,0.016835900335923193,0.04084201146404849,0.06389520945853956,0.05590408067072122,0.061154570350343586,0.05029198745970931,0.04726637774849195,0.04891910124549025,0.06123139294247615,0.06980844962217843,0.07038299740923057,0.056019823537442774,0.04418942810421013,0.03388685528373588,0.021962092642053246,0.010067574354341824,0.006030212247768472,0
169,8399,0.0008189706348532715,0.0005950978492619262,0.00045362746587411117,1.291651775707438e-05,0.0003524266512220856,0.00021531814706112558,0.00125606518785406,0.008807073923258845,0.016328870587446,0.016913143355845005,0.017958746375807116,0.01849851603317681,0.016869227865873613,0.01624071551996412,0.021607210709669124,0.014947721736499284,0.01890135090212571,0.02485756267984529,0.020859601658005548,0.01839163608681688,0.010768754989775744,0.006703182126216294,0.0037137516237678346,0.0018468011578891316,0
170,8456,0.0016008420196969824,0.0012945861233806706,0.0005899969294418336,9.107869356341339e-05,0.0,3.990549771964611e-05,0.0023992735930763276,0.01075362819770589,0.024719118752644365,0.028811576961992217,0.030138321030220423,0.04099548911138516,0.029430165096640617,0.0260568128674261,0.03311327081409728,0.03214914825507769,0.03126300166607361,0.0411577481791315,0.0402804002517542,0.030165664965755276,0.019895704151772036,0.01475102853240434,0.010326820042355734,0.0026555174953948753,1
171,8471,0.005684456511653347,0.0022569469810121115,0.0006994476572503355,0.0005852673559084475,0.0014893615275002733,0.0008363379943317882,0.007172501812141697,0.027384153200828,0.0845579324371035,0.13917959394212703,0.16246311062135216,0.16247781939026548,0.15426648608388388,0.13466537648914825,0.1610825802723528,0.1592455681168232,0.16751000187806864,0.19452780966328317,0.18575484242962487,0.15211636677386034,0.1111386598609122,0.08653133674958143,0.0414753521739254,0.021812446197015927,1
172,8472,0.00585597623768686,0.0016890188618143773,0.0025601017814796847,0.0002810375433038771,0.001205215230479629,0.0012036119998022985,0.009716332646610308,0.035723027445694625,0.10286485820451625,0.15998136008975072,0.20900436958346658,0.20319102087508448,0.1725612081944029,0.17228103859509483,0.17236029751897256,0.1951301664197647,0.20421730353787698,0.2309410866643826,0.2106037905280718,0.18311317860568505,0.15628481806304487,0.0953096870450339,0.0559294842353847,0.03007556745572273,1
