,cellid,internet0,internet1,internet2,internet3,internet4,internet5,internet6,internet7,internet8,internet9,internet10,internet11,internet12,internet13,internet14,internet15,internet16,internet17,internet18,internet19,internet20,internet21,internet22,internet23,h/w
147,7981,0.027351215889513066,0.018818993886099568,0.014468595526953383,0.013088120650519314,0.013042636077984095,0.013904034336820761,0.019415259644939963,0.028665152206682264,0.03650618815894109,0.041037528226561475,0.05060076453153362,0.04874691568921317,0.04441651788064642,0.04736966206484975,0.05622585600242197,0.04903297063230201,0.05100176231641935,0.052525479628309536,0.04829520020024523,0.047488804452436154,0.043091705199923266,0.038757023654834355,0.03468154563066051,0.03471697397517345,1
148,7985,0.04385532782584926,0.03466218160283258,0.02767620008103313,0.027337653914694664,0.024015161693237145,0.020001424359454054,0.024370585024731946,0.04411208979866681,0.0622104294511861,0.09835994095173559,0.13497419261727778,0.1562923166581671,0.21284163318665797,0.2031534882226908,0.18395357760677405,0.16054576558021585,0.1687898853276298,0.15198639461542335,0.1319033738757026,0.09764582865856124,0.06963472370977981,0.05432976056123137,0.04704544057581446,0.03139750313675586,0
149,7995,0.014614288056514161,0.01209009474194668,0.010996531754970673,0.00933096484554447,0.007161274345699905,0.007344266771460049,0.009492956653946644,0.017315030934682778,0.01841723417733331,0.015315019280246787,0.015567470154699527,0.014068792900851815,0.01531921823631743,0.017939168325190335,0.020952734644839457,0.018553511516528034,0.016719679725297188,0.021038271622942945,0.022794368064676364,0.022529242481263333,0.0250664767583899,0.02611481350748408,0.022486388364745962,0.017631147177101097,1
150,8058,0.016012255039778687,0.012996744760240132,0.012490097849983976,0.01044738675850817,0.011799255852675022,0.011453661034789979,0.013893342862224753,0.019863257369116125,0.02555429640198036,0.025786054021774724,0.023744057660612203,0.02143539193257673,0.022243035350872138,0.024996524513475383,0.0284909378028132,0.03228041818934993,0.029990110461901868,0.03380593367393493,0.03071176490135202,0.029333732944431073,0.024242657964896545,0.025784947335441982,0.026427067951743932,0.021423867034092912,0
151,8067,0.020637619804748323,0.015215657198107614,0.0145331137130843,0.012138206287750749,0.01070914579789722,0.011662247909915938,0.013672380526302841,0.038447556004981655,0.04320316047741086,0.047838891361389996,0.050535166812811054,0.048664090296761144,0.06333478470010585,0.05566466515075467,0.04886582640023984,0.05553362920618697,0.04804351762966252,0.04583871274161075,0.04168270135436732,0.048217805247299454,0.04638162519921862,0.04308504747740681,0.03914497719946471,0.02970106317571624,1
152,8073,0.052103055466577376,0.03791295333106393,0.03250293731006813,0.033721306633122054,0.03990753097983644,0.020367681982985532,0.028747750570803737,0.04811396149808362,0.06016856437715393,0.080006287229937,0.09418527533208249,0.09515426625141814,0.12343821114478239,0.1371895110310808,0.12259496831716922,0.10463635053445229,0.10026082489504802,0.09120419975418809,0.09107175517058208,0.08274533460533663,0.07443194034160946,0.0736233003769962,0.0676424958752447,0.061407000441580886,0
153,8084,0.06131922148790974,0.051461749402469614,0.04119205667331171,0.03966760309567725,0.035362750418115436,0.03137309820207615,0.036020251081407516,0.05151631783603233,0.07239778684955868,0.09905881719812071,0.11745240440696597,0.12782926846705867,0.1503177307168141,0.14460079526637362,0.13842043756517974,0.14182495296766057,0.15681544119731028,0.1374969159007135,0.11856739240073384,0.08564426969855982,0.06611007903614816,0.0564208618885405,0.049988999319375525,0.045512624896466465,0
154,8095,0.01946901704016718,0.01579665156464025,0.014008267404304373,0.012173112406641881,0.01039606674325764,0.010592671378656762,0.01236022795510312,0.021074612851968905,0.022650671550954328,0.020937608728153034,0.02204736550131361,0.020613045476813554,0.023267662858596258,0.024141429225046574,0.028890340667394182,0.025363576735821076,0.024927306873715593,0.028957126703274556,0.030179717647854414,0.030177469685846416,0.031994633274928914,0.03294280073873629,0.028519100729866777,0.025009802228427795,0
155,8159,0.017296375779672822,0.014592557049608847,0.013353690580834228,0.012528561932820767,0.012682569368104472,0.013149902687636881,0.017208550875908828,0.02445325487042961,0.026429367623610325,0.026730924460122235,0.025416618847159605,0.02814304712345074,0.02713220425613052,0.028211699808306227,0.03724225043135098,0.044047422007002804,0.03460533260076354,0.03420645343020022,0.03585376329510794,0.03596492922876621,0.036789370192623315,0.03162579779860809,0.031931322373316896,0.02472822802121109,0
156,8161,0.024263453308319093,0.022240423302758966,0.016596804864078527,0.014249129327035657,0.012887779514602156,0.012831913826479455,0.014447080535768209,0.02612907208254842,0.023604484799204968,0.02783346069202285,0.028076830669005026,0.025138947242988145,0.022792179908977417,0.02476112616556192,0.02777813613435925,0.02777179508492505,0.03271331054057383,0.03401043988634231,0.06816055926598863,0.04481986632397184,0.03952959314955092,0.04736908882993738,0.038623271150532656,0.03447103841379284,1
157,8176,0.06266966532631937,0.07240154051387622,0.0633821752537575,0.034987107928649265,0.02987774407187745,0.030396625573007933,0.03446346109896279,0.05103610918035393,0.0718946128742057,0.07743216961386572,0.08082139371522264,0.08838217339207338,0.08412575332771842,0.08061862724511448,0.10526613514106732,0.1045364147323348,0.08879813679788341,0.09740293987218958,0.09311273222641676,0.08101724735693086,0.0776133177590223,0.07319520595676757,0.0794346689343761,0.08269113276063074,1
158,8185,0.040854107448864765,0.03250714229103181,0.03300347987353655,0.027351668497872475,0.02740405667620073,0.02248009563765988,0.03274512946465023,0.04932557386114731,0.06983698855373138,0.06965924154281139,0.06745167800508847,0.06590564007169487,0.09364977778992141,0.07490008219342538,0.07725411368205624,0.073620248232054,0.06383908097088054,0.07248318861924209,0.07745943742190729,0.06734103483434936,0.054925604561836566,0.05802084678945554,0.054682595222294045,0.04724252579709081,0
159,8195,0.02681140551343113,0.021271758120691146,0.018038643507658072,0.016351332460619896,0.01594412746248969,0.016103999006872698,0.017108654420521188,0.02924343017347823,0.0347730522934242,0.035260933543581736,0.04075958372552599,0.03714499228703721,0.04129127875513738,0.03840276796146311,0.042298040484882324,0.03667720851349155,0.0389914111340505,0.04351690059678307,0.044161303996254966,0.044961849196217325,0.044346911878995775,0.04378904174441269,0.0374234528469436,0.03690734462884968,1
160,8255,0.011555347633407799,0.009985891246724648,0.0063483082094606645,0.0033233627386624353,0.0030354053541770854,0.003356539886741391,0.005416851903585462,0.014852838034777275,0.013759511712149619,0.014141935327431786,0.009980572772594749,0.007660705013678461,0.008677619507459888,0.009622715442535392,0.011380887477241251,0.010873389536916493,0.012116828413120801,0.013446157235288175,0.01774692063216527,0.016820890272657162,0.014873098888560497,0.013573075410174357,0.008252321944337494,0.006652727537646326,1
161,8269,0.013214603585256455,0.010373539876863158,0.00853229890989174,0.0077257840519959105,0.006528869290827962,0.008271629864571898,0.016802844426971403,0.016343094313855437,0.02841403588727733,0.0489833091238095,0.0802841335848144,0.08391724304335282,0.09136511955372018,0.11005222292533591,0.08839030177834056,0.07855001672462124,0.08574660471279856,0.0889846477149495,0.08554922459241321,0.0836603067540734,0.0616067507513819,0.034385976763000634,0.020276426993349566,0.01725002608868152,1
162,8279,0.04249857516550749,0.031061289685213784,0.024078520812850657,0.024256513739176148,0.02023055457561088,0.02150735456411007,0.028469110822996094,0.036767129454286146,0.05093533323162198,0.04720471792143772,0.053481813480858516,0.046161907427921346,0.05064001192868748,0.048722792895096755,0.05186842387136912,0.04519471573434879,0.04933387270980898,0.052736110669122024,0.05462710336241325,0.057210272481254855,0.05449941945231015,0.06023006612511849,0.058799229179417635,0.04864690952612818,1
163,8290,0.04630377227492942,0.02787716043415571,0.025395067154253676,0.021891804120517448,0.02126725972619943,0.02206472350485943,0.025785504829262697,0.04334768832723156,0.05521530126541174,0.04761247249106428,0.048764167502641176,0.04544034493548191,0.05250503290318867,0.04625729673513164,0.05138402203633771,0.06422730182507207,0.0628926501901486,0.08085954790957448,0.07397801296848454,0.07957565725339823,0.07270005828216476,0.07422347828632468,0.06545681817059215,0.048422269129488237,1
164,8297,0.009055009953509734,0.00759843836331125,0.006877910525585718,0.0057260170184943605,0.00568350555234109,0.005935533730401524,0.007421542180275834,0.016493780719967734,0.022970493787377186,0.024218830045744086,0.030057036751701245,0.022015634843969276,0.022544437976097436,0.021593769864550024,0.016287464490416213,0.016287993910631737,0.01565062499501597,0.02235460136548534,0.0260202275444422,0.02303187463819174,0.023214723890295094,0.019669781643624103,0.016645168636575117,0.01345970414355951,1
