,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,h/w
75,6555,0.002572292606437156,0.0014423100372223995,0.001044514949765941,0.003620090566455634,0.0,0.0027292412283366385,0.0031158997015003085,0.014213557484280546,0.04331372860652694,0.046084531169805036,0.08380714665512501,0.09552816838629914,0.07013322869325145,0.07131195972535968,0.08753994538041852,0.06585094709229891,0.09750907629494475,0.10237186129141139,0.08397278401926134,0.06340345780104231,0.0469712082677682,0.02710204291285304,0.0058182920117494956,0.010914827816244567,1
76,6570,0.0267959941018748,0.009641611893146424,0.006768992184885944,0.0028947167829431937,0.00287261970826048,0.0043089295623907195,0.013453122199989207,0.03591808966479058,0.15439014510403026,0.19912097128617867,0.2520030321968542,0.25822711992318864,0.2757021447900032,0.2441559848580133,0.2581765787418567,0.2996967469882274,0.30635713440172446,0.23698806995274369,0.23773537421238788,0.20857593342094868,0.16536275313376508,0.11973346929814169,0.07340812761013595,0.05198571893474404,1
77,6579,0.004934121374474297,0.0026008050574142707,0.0007649650255015772,2.031163226027294e-05,0.0005327114376899152,0.00038357719648549505,0.0032969038995263383,0.016032625892301998,0.04723251104137853,0.06088124932050758,0.08125472982964013,0.0815588434470501,0.06694923852159493,0.06899324892829715,0.07565620075432847,0.07441442283763718,0.09125598149285734,0.10081274478478894,0.0902839834546303,0.08932592935755373,0.05971976897838943,0.04444125443958836,0.02958212962649305,0.010860191864327759,1
78,6587,0.002589622557655987,0.0008889609400639727,0.0,0.0,0.00071050063953949,0.0007262927959359924,0.0037730877605211084,0.01610683291450328,0.04489137606586376,0.0670369656673416,0.07316471388414073,0.0676442277031438,0.05993604271143635,0.05816112027933407,0.0734136206572991,0.06728108322318635,0.07487631307696037,0.07324531353068395,0.06908105624994033,0.05009636300005341,0.03483702733272528,0.02733069185321056,0.014525113925730975,0.009313114801801876,0
79,6600,0.00018014400512273338,0.0,0.0005009412462085353,7.018865996949992e-05,0.0003207972410858019,0.0006415944821716037,0.0014669616274060957,0.006597213139244321,0.016644649898757007,0.019760782606845335,0.02685053886730247,0.030501188956708992,0.02329961012137167,0.02472637405335688,0.01781677836185893,0.029222524051497237,0.02834319158779229,0.02504122061004845,0.019283368859817258,0.010500712899976086,0.0051647669324424664,0.006291527758031539,0.002920368344819383,0.0019405331270186325,0
80,6660,0.057023702257731956,0.0503677567530205,0.05633123190348248,0.049286613052840086,0.054384731438528115,0.054979717231384805,0.06259617991485644,0.0960380225871137,0.16212317586595845,0.23074054319914272,0.2581606889604339,0.2574298920272619,0.256490028114134,0.2635691878472923,0.20714367104550765,0.27372932736978967,0.26453059624997005,0.30571946169117165,0.3099129540291486,0.24841963373480297,0.19682600846504092,0.16679857492201675,0.10521589058970754,0.08146459782809091,1
81,6665,0.013818918718258851,0.006534230353273581,0.007021716531280833,0.00048362669372695833,0.0038564072512994505,0.0017938417730631799,0.005623670734143535,0.06511893425701705,0.1561706337783882,0.24837876485709434,0.27008009056905613,0.29336211987578864,0.22741738373143072,0.19775603697188543,0.23114946683199017,0.2774129818679074,0.3171850927238677,0.27994104198714986,0.2849253120208841,0.24752600794221552,0.17754993535719313,0.154880260908679,0.07996170140258972,0.04533837194984204,1
82,6675,0.01192580543153898,0.0042530829104737156,0.00597739022300697,9.206689728740282e-05,0.004232795101733912,0.00839357565736832,0.012194967037287707,0.057193472262943974,0.16504193590394914,0.16617059186370933,0.24158531250944215,0.24915793900868285,0.24749878163522468,0.2236243956468314,0.23159080326024178,0.26574144420316315,0.2547907167413405,0.3077172538951745,0.28205232753009857,0.24766858415325693,0.18706203217689935,0.12083583157653068,0.06478334901995289,0.046074134665824884,1
83,6687,0.002957886104614398,0.0012766258994414354,0.0,0.0,0.0006746623510701872,0.0006746623510701872,0.004038043378188099,0.016503928029314278,0.049214892573870496,0.07049870641844444,0.08075138867959339,0.07076360047834848,0.06408019378364727,0.06069107416772172,0.08337215065448625,0.07526837559947662,0.08122133502602323,0.07582209360995822,0.07512167869575911,0.05663112428321907,0.03541494539489151,0.030012727277671247,0.017698847668391075,0.009217293317584878,1
84,6700,0.00015057665685614267,0.0,0.0003052204232453633,0.00016751274263240105,0.0001546437663892205,0.000309287532778441,0.0012049153538513109,0.006349765979139335,0.012168228508880823,0.014993255694639752,0.021207567406293558,0.023946190444184858,0.02597422325287795,0.019991336286397966,0.013919633165197728,0.022154311934458795,0.020383758225329847,0.01905953453692369,0.014380432112036826,0.008009110640172191,0.004615600479190564,0.003883688388048781,0.0022722999332033793,0.0016309726232838927,1
85,6759,0.06489864834320704,0.0534216710926956,0.057852665878852315,0.05386088191011214,0.061947188987949056,0.06632700910821979,0.07424448776569974,0.11120263793213961,0.1945725006733176,0.236194654510863,0.29326931000416384,0.2788962164404,0.2811572558768003,0.30227657078484577,0.26163288080751795,0.3155352515595227,0.325255342966284,0.3393867463525158,0.3896583632643709,0.3166915502431023,0.22183958577111157,0.17949702110269097,0.13076052749353032,0.10742326877324014,1
