cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,h/w
8887,0.00913514562458623,0.005161599656015048,0.002731238884141282,0.0035657849169861604,0.0022127290126245634,0.0026349586709045712,0.003851691741566017,0.01592850805343867,0.012791681982516317,0.02293888574604621,0.026754114652127837,0.01808961099410206,0.012241589052206252,0.01711505928959088,0.026704622813985744,0.021521228576856934,0.019270823235524474,0.023875373322600077,0.03815578052097027,0.030232793283123255,0.03130822290008365,0.03995552854246494,0.02668510157623851,0.018890279345814266,1
8898,0.0037905728008398244,0.004825746945654165,0.002777833855661341,0.0,0.0008848553308934335,0.000663641498170075,0.0039898645996318885,0.02211917063363405,0.016105044035641773,0.01783680144227447,0.013948648827190295,0.010184367614296513,0.019987358726553533,0.022214991805473344,0.03577935919860125,0.04239889322258051,0.0259919069129886,0.054633237935971996,0.030533560617728394,0.05216691442766285,0.03397024362534529,0.03557174388979463,0.03197445464953577,0.012111779576702454,1
8952,0.028408239378881643,0.005373334471674886,0.0007549146657704421,0.0002824207710876046,0.0010337925635001573,0.0023517138161932094,0.007767943879604697,0.028001252608410587,0.028731339675011316,0.02938039151970175,0.03402386551340604,0.03077968184553002,0.017421791181886248,0.015433460518643112,0.03978848959697124,0.01670712821577776,0.025410140650013683,0.029864819707014247,0.031736953881808846,0.04415347437532633,0.04141781736429015,0.031820380827332836,0.01725940472531021,0.030209410183478513,1
8971,0.010479872097151557,0.0018717891179649351,0.002401592511900117,0.0006782326780150499,1.3796354339349423e-05,6.407149793237262e-05,0.002124825467870827,0.02365654123834027,0.03278173214343075,0.025297362535760464,0.020250017030664126,0.033865836269930116,0.026103941102464476,0.03555049412026024,0.036355550427608845,0.03851053812736333,0.03374545119956868,0.03888121897647952,0.04193856590821085,0.0300303405702083,0.04543562585788206,0.0525801747084928,0.02265872392108551,0.014374399623015881,0
8981,0.0027938185746016505,0.0030617458305995213,0.002027210415679612,0.0018394546722371094,0.002997844625852453,0.002044810988106637,0.006824905443408167,0.010791746611921523,0.012800299698148478,0.01526463632952363,0.011358169007720699,0.017460466085866683,0.011834060587374006,0.014045461946287006,0.016611452344551157,0.012510347908934384,0.016689368883982546,0.019154027355754416,0.0242559171785568,0.018821973258621522,0.02432563693977538,0.016039929044477902,0.009568834702918133,0.006750711023255642,1
8988,0.011050374894997174,0.006037060982109377,0.0023998384783285366,0.0025087371086321957,0.0020065866562896575,0.0027104583605834483,0.002630452604552844,0.01310079778236979,0.009406740145726608,0.020524931013413416,0.025096872813158335,0.01847792445829032,0.01850867529643342,0.01568640952727178,0.03689964980583268,0.0293887455573939,0.017043148448975632,0.021072465884660448,0.042191348308159696,0.025424663375699482,0.03223210320836143,0.02778290640495649,0.02100759140807934,0.014722726624617674,1
9000,0.004396139992638259,0.006138127621423629,0.0019313446021395557,0.0004892436097729266,0.0016187207455528234,0.001397506912829465,0.00523624629238932,0.019233715497209435,0.016333752898929278,0.016702805030779037,0.013707607486666742,0.013822226640796145,0.019505435083906692,0.021911611465500802,0.0234149184617071,0.028248343545742266,0.024181132318427757,0.032790846748499344,0.02831903480236853,0.034339240595200764,0.037163892113630394,0.03801704676771308,0.046654587274540575,0.016304841436386976,1
9060,0.014422410360871189,0.0016310044831982006,0.002496590515777019,0.0,0.0,0.0,0.00472102711718095,0.01855351065745243,0.03683041543123325,0.035873034752441205,0.02662495753948697,0.02167795216228992,0.034980315119394145,0.029055953167648745,0.032215625935361245,0.043143166638450144,0.044213539804246374,0.05230457257284816,0.058229344077602545,0.03708636059280014,0.046251674663818194,0.05030909524020236,0.0442556730423138,0.032118157374814826,1
9069,0.0071469735622420386,0.004253120123136845,0.0026026563938955846,0.003972604934195966,0.003599796101488894,0.0023701179364826385,0.005721613120174927,0.025592114544195993,0.03818921139430524,0.03823429273269858,0.033497691084777036,0.03782639206332,0.047250383409935384,0.04507269884861188,0.028400481584057582,0.042320564541263095,0.042405721485945784,0.030397776582036136,0.037626452592954565,0.022308714898131455,0.021838190055725768,0.02755662906679639,0.01391765056140555,0.010035264953886167,0
9073,0.013090774902976714,0.0036050175748914954,0.0007566753530504084,0.0007566753530504084,0.0003783376765252042,0.0024700045453158823,0.013507167380505627,0.06344577854565073,0.05307250800678384,0.05934191967657251,0.047654028138793714,0.04252718415106751,0.045048487600837135,0.04922133323826612,0.0409469595844142,0.046319036623053436,0.02552331670801409,0.03145962834992859,0.050835922212002775,0.05959229959732914,0.04988866155404692,0.05484208552430869,0.058395234940775476,0.028164537605370327,1
