,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,hw
10,4273,0.004642687277930833,0.0005287120580614773,0.001228678973076968,0.0023204947065761246,0.014533990356944339,0.02913533066708849,0.03126855237761214,0.031021759276638836,0.04307881864204134,0.05083688033279792,0.03822946002148601,0.043881373575091635,0.025510264250671127,0.028244510393389398,0.021496318751236882,0.025442572618092255,0.02797711020158008,0.035511120419003915,0.03495347520611892,0.04168892720085964,0.04843136892377119,0.03548809981489606,0.010050727885848827,0.018591200645793685,0
11,4274,0.00136658457358039,0.0007910453564325767,0.0015309702287953943,0.006004529095651591,0.028266671776657582,0.0560203107823702,0.06053181265250908,0.06353358572147384,0.06843284362627997,0.06598061482877153,0.05718387264778664,0.0423944125590848,0.029228087914165424,0.023446940979153227,0.01605449592032519,0.020990657096825127,0.015866825818835986,0.018833724715282055,0.023685426528846674,0.02036200545978845,0.011325635764259042,0.007844386431297241,0.003546240477979245,0.0019771864609204335,0
12,4275,0.0021810537082895187,0.0011749923258487296,0.0015311423969726374,0.004885705590121208,0.020473877888174574,0.03644768887677406,0.044618493139256456,0.05201880207177842,0.06322844383412712,0.0640435200185283,0.05811102242130365,0.04670515634763973,0.03595024722628928,0.030660656298388805,0.023742215644846645,0.03205443325461111,0.023626602674656636,0.028244124037171848,0.03727208292002906,0.028621568906372637,0.016126366373044636,0.011275226430874136,0.005289994817437386,0.0025153420176356666,0
13,4276,0.0023766923607535444,0.0014541403177579157,0.0008534579028095148,0.0012245284674882052,0.004977903527306202,0.007943462107354103,0.013925411941769035,0.017194413241991783,0.03801345015232688,0.0457254814999066,0.044369909112232826,0.052377021782386964,0.03741382118508041,0.033427025124811556,0.030591471068609866,0.04515454023733417,0.03895886833667141,0.038527853755603934,0.05418806060779288,0.04295037789621748,0.032905886189455995,0.02083729725795148,0.011320400012127991,0.009143857250790418,1
14,4277,0.00233610950498983,0.0014308812022691996,0.000924445720565512,0.0013866685808482677,0.005084451463110316,0.010171791819086218,0.0158482151138765,0.016962448536028043,0.04186395150953366,0.051923830130627575,0.05078409908868858,0.0592045938042938,0.03925829573871269,0.03410174755773981,0.03232784172733694,0.049106280347510106,0.04518894160656902,0.04073338956240282,0.06023617976933464,0.0501494218840133,0.038496758455505785,0.02381754012444989,0.012748181849025585,0.011234653189645692,1
15,4278,0.002311235810797056,0.0014219783549881569,0.0009017366383126264,0.0013581706071193996,0.004939144128667758,0.009951543971260376,0.01538265570883153,0.016584620543389956,0.04117100353523531,0.05111584983821187,0.05007461956614453,0.05811369467847054,0.03864176457895088,0.0337671581427002,0.031852916691020194,0.04828103445553222,0.04475482831521759,0.04043983480972931,0.05956605855807105,0.04965003529373572,0.03794571410049396,0.02360132670325002,0.01255777009686588,0.011003749181844222,1
16,4279,0.0018258812898589384,0.0009625684553665124,0.0005715331440508967,0.001095418244923851,0.003124039377184659,0.005941831909919914,0.010017502801738977,0.01733607408373218,0.03814215276554765,0.05332477324877286,0.06283664188348911,0.06426478817467687,0.05271070051189551,0.043033906438271936,0.04327258476805408,0.05825499705791887,0.05453676107704324,0.05438300837031379,0.06557485744382026,0.05609722670134437,0.035613371675736666,0.026623019935749715,0.015002889865902036,0.012222304384143078,1
17,4280,0.001982457959209446,0.0008171719684007489,0.00020248073944682395,0.00046549755162542523,0.0012952196867819076,0.001526064650791023,0.005583679416162553,0.01735334906510456,0.03251229691094887,0.04150113298989842,0.05382906817579759,0.050718494621619786,0.04504359595795688,0.03845628785226514,0.037181060745807806,0.042941215813405674,0.04791256348990678,0.061048925485443765,0.05873868635429615,0.056147601217933704,0.0373808356172969,0.031537680648229975,0.017130834062712263,0.007258710893924681,1
18,4281,0.0022426852901833868,0.0009165196557076067,0.0003075914669862905,0.00034484029102064607,0.0009486842890152418,0.0010527060038066937,0.004689459975483787,0.01696149944260245,0.03484879756290399,0.03953941873666402,0.050003741019153454,0.04752474739447558,0.04534720898530416,0.036512961076595817,0.039313438695814835,0.04281552157011339,0.05376092935027424,0.06349971115817063,0.06908001340957798,0.060343185896387666,0.03872511645856871,0.02735457908719745,0.014687378254297641,0.006677608361082731,1
19,4282,0.0024395553392914755,0.0009450778666971688,0.0006584998169807452,0.0006200709191174611,0.0005099365292925682,0.001461687039280413,0.00450327601906848,0.014029199627414867,0.036182642252966066,0.0376135563349671,0.03961733196301867,0.04182748310551277,0.03850809816813261,0.033184052309727416,0.039854750793536134,0.04192906435886346,0.05224032426755628,0.05601228111578039,0.08449746581450233,0.06554717480650392,0.033859702517085186,0.014933882961481152,0.009008760978216944,0.004278690394475763,0
