,cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,hw
106,4769,0.014495357263334344,0.009484696636273658,0.00875482109460689,0.008830774570372405,0.008692227315572459,0.008741461397875806,0.01163550905317549,0.014696498297168722,0.04081117433531126,0.03363461849448976,0.021970004231637353,0.02392514520142057,0.028296508341405856,0.02387044153240146,0.024893506073757083,0.04223094211672989,0.02422222463567209,0.03600416817985523,0.03515751736316919,0.03521979399833769,0.029218353598377638,0.030183236968295758,0.025418855993641805,0.023140976049071345,1
107,4770,0.013260010985767798,0.007916799032852702,0.006751654008002243,0.007281958113265568,0.007101377727143366,0.006353407586419263,0.007305153012175103,0.016207850263487044,0.02953164479347841,0.059510051156536625,0.026217378370597955,0.02114156009891562,0.020468840188321392,0.019577843395318234,0.023261840823008417,0.035030951378203924,0.030080684784118194,0.04867887303640587,0.03509453269104497,0.0331688563111762,0.043834064308132685,0.0524223798797122,0.03744011370109251,0.029000859629782258,1
108,4771,0.00520051182416037,0.002452027777900161,0.001953290372343392,0.0018274701125133316,0.003191845533544699,0.004588997440894846,0.003250292955660118,0.012172371558732025,0.02244196765491905,0.026481565671663206,0.017487099459215276,0.013783110130008172,0.011134908633719673,0.016237795762929476,0.01678994978075834,0.019378337941208575,0.016334947192168943,0.032462386512472886,0.019333515130110186,0.01672192560516364,0.024508400422827994,0.023576615101115438,0.016676405573964114,0.012442525351810544,1
109,4772,0.0013486851356746608,0.0005624775219103971,0.0005997658705527082,3.72883486423111e-05,0.001705547976409658,0.005136874394478196,0.0013486851356746608,0.006553537399223541,0.015806420387422228,0.010676733308482926,0.009935295602562342,0.008959199709648313,0.008240381477629781,0.015430366032921554,0.013254756974703946,0.014070771377909153,0.006098595656314442,0.009324601636870055,0.01036838115519229,0.007983398060396763,0.009283866752289538,0.007447280791989102,0.005644536644392769,0.0031517235269334695,0
110,4773,0.00041508773198551107,0.0002075438659927555,0.0002075438659927555,0.0,0.0015191062331981026,0.0018678947939347996,0.00041508773198551107,0.0018855503807777925,0.004879442438891334,0.003373668616413067,0.0035105901350338514,0.003113157989891333,0.0025434931524420446,0.005107246459661205,0.0038593786957705485,0.0037224571771497642,0.001541084996164252,0.0027686926052777924,0.002786348192120785,0.0026980702579058216,0.0025788043261280296,0.001956172728149763,0.0011436528510217338,0.0012099520222705476,0
111,4774,0.000354520613683339,0.00023409245804087268,0.0004968642126355397,0.00030328774573459355,0.0013713626164199718,0.0014580274461124998,0.000620668700873,0.0018091493510927,0.00414362367571619,0.002860331370749037,0.003086486067983113,0.0031852878229764133,0.0024649603751611794,0.004193234493726204,0.0030300102216101925,0.002774254420080347,0.0014113186014892967,0.0028563559710761337,0.002683048687799223,0.002383137274659623,0.0020871565089766388,0.0017489408672985032,0.0009301938579432685,0.0010326093447793796,0
112,4775,0.00042047675367641563,0.0004555582499502635,0.0014082941732320785,0.0011820868798325874,0.0010354735684346343,0.0008092662750351433,0.0013923252566707953,0.0023385232528451696,0.0037884255510724405,0.002660293444807483,0.0030554286798903335,0.004457844445849758,0.0034318602542905276,0.0031988399407154445,0.0022144054867298444,0.0018382019163623374,0.002207628257203622,0.004253426088862644,0.0035779478718154507,0.0024149735716954275,0.0019146522352125946,0.0020740908000205505,0.001299655420454376,0.0010098230616146296,0
113,4776,0.0014228324105492207,0.0010358760059621713,0.002131842681023435,0.0013006458172000284,0.0013074092095832102,0.001125358227082249,0.0025841255713081367,0.006281383041212696,0.009120497053002498,0.007676488387935717,0.00866374691525818,0.012021268419110172,0.00997985856467585,0.009442269543946225,0.006957795075142412,0.007335566396965026,0.009568738449674917,0.012643206927872117,0.009957888813173124,0.009095923030226468,0.007629409336944703,0.008179850950161474,0.008521635143966496,0.00596181736649615,0
114,4777,0.003107571635038104,0.0020684185979210593,0.006943268165662298,0.001839198767063542,0.00218965592682345,0.0016921038317393449,0.004395513849110886,0.013098947372929944,0.01755634634218649,0.019135622978552404,0.01866545665093492,0.0247666873854336,0.019833375342949194,0.01958389657753221,0.01778164382469778,0.01697882586408113,0.02224299369619304,0.027511334582595956,0.02206560306400692,0.022671464926463228,0.01853798953071779,0.020359999582988782,0.021117185423721898,0.015004105838967975,1
115,4778,0.005107910117593207,0.003950813952098472,0.004580706474705902,0.0019203493571010814,0.002548499332526305,0.001907295033750169,0.004301779015568451,0.012065887355225537,0.013560459078453806,0.015442990710110252,0.019794066973395485,0.01842192350270781,0.018433864860127266,0.0167861176483505,0.014001109349180077,0.016203438369400924,0.02584766688152657,0.025161094180592126,0.021260252931081868,0.01853140830885336,0.024847053979605155,0.022926429532376842,0.02381146034638102,0.010548727383625622,1
116,4779,0.004850575048303841,0.003602059699570735,0.0011297293015362835,0.0011349020831470805,0.0012508604068512954,0.0013020193227897747,0.0027954120250403575,0.00831673957401066,0.009226751250008462,0.010623316546770251,0.016479082413660816,0.012039237687868576,0.014343210720753872,0.013544675447736187,0.008534747000892138,0.012784959571889944,0.019988712819316152,0.017326117515242854,0.016017510248470552,0.012990900662956538,0.021781160324882504,0.01960523130667625,0.01978047547736065,0.006119293430719691,1
117,4780,0.0014834653847228335,0.0008718021884691536,0.00014564283394600792,0.00031379705600080056,4.198216106478445e-05,0.0007751111504813585,0.0008019855536953837,0.0034520182448185247,0.0052954001184935045,0.006645785974251243,0.007323192905151027,0.007358704578503125,0.010450861595471903,0.008671764802454806,0.005201032634392642,0.008740340287709713,0.009467166575601968,0.007403351638730265,0.005775603530887145,0.006445150384749392,0.007095458660857609,0.009096819783069017,0.010061654708563081,0.0024569143423075184,1
118,4781,0.0005401794216538211,0.00011562121635405316,0.0004121538586167646,0.0001541636446685475,0.0003063411843139889,0.0002990532681386141,0.0010965531137045775,0.0036586326817103798,0.00485574562108666,0.006173224556798033,0.007345397977842738,0.007877225736900556,0.008187521339626401,0.010445263039879507,0.006071580601092369,0.010197670135022924,0.007688727006899194,0.0072626997849652925,0.005401287157160778,0.0045964163458648444,0.0034545618418576605,0.005959073353116684,0.005293314667022628,0.0010420047699148589,1
119,4782,0.0007505905193435344,0.0003047333066226958,0.0009904716720300086,0.0004058328840678526,0.0005918010428108961,0.00015054021872656096,0.0010132137644757171,0.004181607625096237,0.005314521835706392,0.006205104969223058,0.009968224231642184,0.01126659342001941,0.008828760334559932,0.013030698590825635,0.008654106880725841,0.010622075556605529,0.008392995561512444,0.0074961661509287845,0.005476329770140792,0.0051822432625942575,0.004062462004173866,0.006215065439703736,0.006478750253489368,0.0017817291525064872,1
120,4863,0.003833796302229067,0.0035028105947729686,0.004646827411554283,0.0009010907597677325,0.002665796508770782,0.003443008039636822,0.00900838685526437,0.026331712481094182,0.09030236656810876,0.1365785367371341,0.146119999969265,0.16439367368872052,0.1422856567501756,0.12252504330161583,0.10491711571000864,0.08551248846815203,0.08586731287271411,0.0910182109567714,0.04545071365524673,0.04786146763038101,0.0317778132451866,0.02367879291124041,0.03535937878869268,0.02696397258573953,1
121,4864,0.0037699548909789367,0.0031612818816797133,0.0021220381399908107,0.000816701183772043,0.0008537155399994592,0.00262031571517055,0.0030837846081784724,0.013929889308741903,0.043609479327822914,0.1083843170375439,0.11579259054248396,0.11183770070612842,0.09808354014435229,0.07471166313135183,0.07297926720321292,0.07406986991268588,0.05239599457772416,0.06554886298644985,0.03402867951381247,0.0446467296700286,0.020660742031831686,0.0245441835401964,0.020937624652983763,0.0091093308264664,1
122,4865,0.03170080473787517,0.017508416704624306,0.015790165199568423,0.016104127848685874,0.014774660321235797,0.01659185588290365,0.02953225203024668,0.022827444457608672,0.06297009590515991,0.09464117696900369,0.09176829667616183,0.08271281358162166,0.08341406781544909,0.06386272143513569,0.05663561203038053,0.09849508638472543,0.07080149988683734,0.08846763459461146,0.07080122669952643,0.07232071217307529,0.07509090593575686,0.08304614024055217,0.06606375114983624,0.041364849458803934,1
