cellid,lat,lon,home,high_dens,mid_dens,low_dens,work,transport
4665,45.4550756,9.205067399999999,1,1,0,0,0,0
4666,45.45507,9.208073,1,1,0,0,0,0
4667,45.4550646,9.2110784,1,1,0,0,0,1
4668,45.4550588,9.214084,1,1,0,0,1,0
4669,45.455053400000004,9.2170896,1,1,0,0,1,0
4670,45.4550476,9.220095,1,1,0,0,0,0
4671,45.4550416,9.2231006,1,1,0,0,0,0
4672,45.455035599999995,9.226106,1,1,0,0,1,0
4673,45.4550296,9.2291116,0,0,1,0,1,1
4674,45.4550236,9.232117,0,0,1,0,1,0
4675,45.455017600000005,9.2351226,0,0,1,0,1,1
4676,45.455011400000004,9.238128,1,0,1,0,0,1
4677,45.45500499999999,9.2411338,1,0,1,0,0,0
4678,45.454998599999996,9.2441394,1,0,1,0,0,0
4679,45.4549922,9.247144599999999,1,0,1,0,1,0
4680,45.4549856,9.250150199999998,0,0,1,0,1,0
4681,45.4549792,9.2531556,0,0,1,0,1,1
4682,45.4549722,9.2561612,0,0,0,1,1,1
4763,45.45720140000001,9.199064,1,1,0,0,0,0
4764,45.457195999999996,9.202069400000001,1,1,0,0,1,0
4765,45.4571908,9.2050752,1,1,0,0,0,0
4766,45.4571854,9.208080800000001,1,1,0,0,1,0
4767,45.457179800000006,9.2110862,1,1,0,0,1,0
4768,45.4571744,9.2140922,1,1,0,0,0,0
4769,45.4571686,9.217097800000001,1,1,0,0,0,0
4770,45.4571626,9.2201032,1,1,0,0,0,0
4771,45.45715680000001,9.223109000000001,1,1,0,0,0,0
4772,45.4571512,9.2261146,1,0,1,0,1,0
4773,45.45714519999999,9.22912,0,0,1,0,1,0
4774,45.457139,9.232125800000002,0,0,1,0,1,0
4775,45.457132599999994,9.2351314,0,0,1,0,0,1
4776,45.4571266,9.2381368,1,0,1,0,1,1
4777,45.457120399999994,9.241142800000002,1,0,1,0,0,1
4778,45.457114000000004,9.2441484,1,0,1,0,0,0
4779,45.4571074,9.2471538,1,0,1,0,1,0
4780,45.457101,9.2501596,1,0,1,0,1,0
4781,45.45709419999999,9.253165200000002,1,0,0,1,0,1
4782,45.45708739999999,9.2561706,1,0,0,1,0,0
4863,45.45931680000001,9.1990714,1,1,0,0,1,0
4864,45.459311400000004,9.2020772,1,1,0,0,1,0
4865,45.45930599999999,9.205083,1,1,0,0,0,0
4866,45.4593006,9.2080884,1,1,0,0,0,0
4867,45.45929500000001,9.2110942,1,1,0,0,0,0
4868,45.4592896,9.2141002,1,0,1,0,1,0
4869,45.459283799999994,9.2171058,1,0,1,0,1,1
4870,45.4592782,9.2201112,1,0,1,0,1,0
4871,45.45927240000001,9.2231172,1,0,1,0,0,0
4872,45.4592666,9.226123000000001,0,0,1,0,1,0
