cellid,smsout3,smsout8,smsout11,smsout13,smsout18,smsout21,h/w
4577,0.0001506381787403874,0.010919393122586583,0.005158292033057847,0.005931388946084422,0.008302521861458837,0.006481954021577876,0
4578,6.72657353627795e-05,0.015205768363693346,0.010116066627917948,0.011126566663642899,0.012042972130827447,0.007841390708471844,0
4579,0.0004031735450250287,0.012555657332113161,0.01632333084887501,0.014684842777646622,0.012107643751434888,0.00782294987130618,0
4580,0.00034023459392734233,0.022945537930783393,0.008463788080914065,0.006756554520472656,0.004068021987581897,0.002341597823374321,0
4581,4.6926335787339534e-05,0.023134000404981085,0.005614681434758273,0.009167345334922554,0.004996249035252494,0.002233761316833616,0
4582,0.0,0.020250742383115444,0.0065356390279778164,0.007621188612775184,0.006708008008313359,0.0033976598339571207,0
4673,0.0,0.0030875642218368272,0.0020803422912219274,0.0037785696807102493,0.002116926775216732,0.0012837425379846536,0
4674,0.0,0.0036817693526379827,0.0014277978641450086,0.0016191183479509815,0.002460751884818053,0.000788292383750371,0
4675,0.0,0.005537819362044593,0.0010821587902011254,0.0008134511899255492,0.005105444405235944,0.001074830401102304,0
4676,0.0,0.006273768424130311,0.0012865890852249357,0.001263197838977932,0.005187216523245469,0.0013201467551308766,1
4677,0.0,0.014559125666333399,0.004261392869160795,0.006657052683618967,0.009202146922496098,0.0049424153329668905,1
4678,0.0010663046791359143,0.020508768587482375,0.007245422939441098,0.011847038936945126,0.014229712273159285,0.011146685136938707,1
4679,0.0016444597820730997,0.02176907438819907,0.01049215000868936,0.013959687856336158,0.013626936824634492,0.012174857726085725,1
4680,0.0006403150956757298,0.009844189004712478,0.008209102007411862,0.005078478000062338,0.004524921683066706,0.002472148649214121,0
4681,0.00013499119418943043,0.009756757008227729,0.007904099584312811,0.003966304511700231,0.0068029835083692975,0.004189381411325624,0
4682,0.0,0.01121861286723992,0.008467111638117787,0.0037259543366782483,0.009120881086636869,0.0053878398182685815,0
4773,1.5017047113274804e-05,0.0032375625841483016,0.002475061628916944,0.004308067330894855,0.0023248911577841954,0.0013521515429669904,0
4774,5.74351292879644e-05,0.003534383262054992,0.00201617066586058,0.0034243223601615968,0.003070327871960667,0.001508886604529799,0
4775,0.00032512599275476577,0.0053142258087061234,0.002151451690177133,0.002156799406803136,0.006140812444997454,0.0024151847703904957,0
4776,0.0006616596349067341,0.012239427540072283,0.007016101087615869,0.00899371772289054,0.011943459212703997,0.00949812000108945,0
4777,0.0016586117451266897,0.024525045577797857,0.01667081075843626,0.0207621999207121,0.023947146129404854,0.022150479135145874,1
