cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23,h/w
4373,0.003445958110998973,0.0004184057484164397,0.0011472735912898921,0.0017669940619009685,0.005589413105261268,0.011791244923700305,0.01378452167169197,0.01781776732036887,0.027010710275951873,0.020792521291553512,0.01934998815242534,0.019723911286226484,0.009197502649972395,0.007173986148800694,0.010885697680314556,0.009992774414872967,0.012268231538742621,0.012717761965320259,0.014226617407147833,0.01134782885411147,0.006578707747358886,0.006425431075038327,0.006859407720673704,0.003766565206702915,0
4374,0.0021774396647849443,0.0005627131101769031,0.0016809735121456424,0.002213177511390227,0.00595613755051326,0.01156069741752045,0.013842058969160381,0.01932799327658028,0.02692395526632083,0.01886009915216119,0.021011195127669698,0.02052063146848676,0.005214735207309945,0.004184419228945628,0.006897645802167691,0.006245251196585882,0.004711394492517249,0.0063959509138554246,0.008127285165608157,0.005379966572261243,0.0030070776878243556,0.0037311479975283487,0.0026021388679820087,0.002736569865769314,0
4375,0.0024584632588095868,0.0005307599785156502,0.0016461728341189315,0.002050226342563922,0.005186061776552663,0.009641342261074964,0.01154535327529641,0.017536288954871887,0.025263232419162816,0.017768817239778165,0.020645394982411247,0.0198833310548788,0.005752390426283091,0.005056685457258718,0.0076812463329637625,0.007308121389330252,0.005670218236757759,0.007156220830676143,0.008440354225082979,0.00617537646896159,0.003180271580637608,0.003880464417797261,0.002836145310779818,0.0027351259885249907,0
4376,0.006827823883608452,0.0008444966988061005,0.0017207472192797152,0.00025810928038740434,0.0014423108873438323,0.0028929158317227274,0.002886118073095183,0.008700174243035118,0.01817779205819981,0.018471691464223127,0.02104830098203258,0.017935876977892527,0.018796216445589688,0.015099515383447561,0.021157748993496105,0.019754247416955466,0.01750908414903217,0.01594846111017994,0.012514310276373583,0.0141388643791667,0.013187521710049513,0.010767124900976744,0.008588928263770168,0.00526710591043498,0
4377,0.006973964137694087,0.001263091894712364,0.0020366626586767957,0.00021679782976609575,0.0013136408067339186,0.0025427638725841564,0.0031126285672130167,0.010434946668923797,0.020219777679017958,0.022117623742318387,0.024823108183487885,0.02227208858800656,0.02279963305853888,0.018117455082967807,0.02598121560238037,0.02462074958770783,0.02230321531350194,0.018661768673832714,0.015143304750489858,0.017315163055703662,0.01697936380106347,0.013668694443468694,0.01065054029928686,0.0064854465562470725,0
4378,0.0045533406461493,0.001443143053495664,0.0022670445297762356,0.00021679782976609575,0.0009192982915926288,0.002046826572314065,0.003099626265865045,0.011560365659196416,0.023527609817609183,0.02717282203625337,0.029344415134067863,0.03026905118332962,0.0285621798788002,0.024231695580504527,0.033563866591065264,0.031001164143210642,0.029451346829245516,0.02317444298820241,0.01932792246571918,0.02221982037845824,0.019363599794841004,0.01629873338403426,0.011326626753633637,0.007047524852309279,0
4379,0.0034959093519286023,0.0012573997657442284,0.0016221358116823993,0.000216756460599182,0.0005419150030989747,0.0017427706678507322,0.0038588850938661937,0.008252609471416381,0.027427534809123164,0.03242517363338552,0.03887719549517516,0.03169553137640185,0.02793877494645296,0.029760638345818283,0.03567498430861717,0.03708959421031355,0.03863252014164621,0.027866624952229677,0.020628647009612845,0.02189210208754739,0.019822177746546994,0.014058563780777711,0.011805611321160469,0.00491667798499193,1
4380,0.004081841688412149,0.0013083322752044393,0.0012771013840197753,6.699613683079152e-05,0.0002538592607311667,0.0007679679479647868,0.00351569757678791,0.007454174957348597,0.02329599648792209,0.02487503042026434,0.03306037572819135,0.024193210961411866,0.02202872332118134,0.024015379026728702,0.02353591067346747,0.0269329618254353,0.03102565499025689,0.028526976778536623,0.016624570952029384,0.018734160385561412,0.017071379989178962,0.01417543061771811,0.00894088788279591,0.003693796531957893,0
4381,0.004327137969535722,0.001248243955976605,0.001128374846069584,3.244755249087612e-05,0.00012499587792748844,0.00032145456912198716,0.002837906908439428,0.007707853121625634,0.02015507560795182,0.018515944195199297,0.02451256830084961,0.018918829281886807,0.01948642542704954,0.018352622005590763,0.01509583222064863,0.017994970446335475,0.023668894495394412,0.025273499568981478,0.014947820020050705,0.017682460419054746,0.01465728419774397,0.01349752452157413,0.006962105080153671,0.0035308743719747273,1
4382,0.0028350621315116134,0.0009926167514164896,0.0005764314764540112,7.783988487125603e-05,0.000118102086982325,0.0001923437279251394,0.002504998874081711,0.006348280563178894,0.01751187850954391,0.016632041673197116,0.01975817250169544,0.015958182055625124,0.017901452709400675,0.015933075784415766,0.012633585234070528,0.013521509816541018,0.018091456864503502,0.01499868655505272,0.012626782017322806,0.015134839109893973,0.009787548362416649,0.007306092947121959,0.004846758384587692,0.0034580938648915813,0
